row_id	orders	rider	cost
586151	258	1786	2.4580000000000002
593177	317	320	3.4439999999999991
594463	553	232	3.1820000000000004
598792	120	641	13.901999999999999
600174	374	3256	4.2347222222222216
600669	470	516	1.8280000000000012
602141	758	1282	2.0380000000000003
605101	34	2414	12.066011111111113
605126	40	1967	6.5967333333333338
606413	288	1734	1.4377333333333358
606900	379	2533	3.2375704149933049
607207	434	1095	2.5701000000000009
607918	560	2788	19.398
608549	436,800,811,1231	1516	12.930044444444446
609145	759	1469	0.32600000000000051
610076	937	3232	0.26800000000000068
612193	90	1226	4.5680000000000005
615229	656	2032	5.6568000000000014
615569	721	2815	18.059999999999999
615672	22,952,1121	3445	8.0640000000000001
616366	860	1334	0.45800000000000018
620723	429	1204	9.9437444444444445
622263	718	549	1.9720000000000004
624151	1082	611	4.0560000000000009
627195	452	2009	4.1314424371294916
631239	2	466	2.4140444444444458
631288	4	87	12.706000000000001
633111	361	1810	0.90616803248431488
637497	223,384	2698	14.276500000000002
640210	550	985	17.108000000000001
642425	1005	92	3.7583210794461799
644146	76	1147	0.39000000000000057
644271	62,201,821,1171	1267	8.3568444444444445
645810	363	1168	28.621899516908211
647562	386,446,776	1443	5.6685555555555567
651838	318	86	14.146000000000001
662334	1044	3227	2.2527918238993712
662764	190,1091	3470	7.7519999999999998
663486	222,664,712,851	1581	14.475999999999999
663501	1235	3174	5.9494222222222231
663999	92	2389	20.078000000000003
669947	427,973	3290	7.8383033105672473
670906	77	2838	12.574
672387	104,203,270,329	1137	8.0560000000000009
673307	500	1259	6.0420000000000016
678756	324,356,798,935	1433	11.208
679458	417	1488	4.5139999999999993
682150	911	3163	3.21601111111111
685552	337,831	971	9.4039999999999999
686265	405	2426	3.2389000000000001
687919	732	1825	4.0553777777777782
689696	1085	24	0.57000000000000028
692790	418	879	2.0839999999999996
693430	827,1062	1196	14.322000000000001
695284	1117,1233	2219	1.9999999999999998
698710	163	1701	0.19000000000000039
699578	37,89,773,1105	739	13.021541880341882
703983	525,698,1137,1175	2473	13.106000000000002
705677	212,319,598,671	1869	18.729099222999224
706845	477,536	3478	2.3803999999999998
709817	1037	12	0.81400000000000006
711362	106	3058	3.6739999999999995
715533	39,74,180,459	63	12.824544444444447
718677	367	963	3.9759999999999991
718740	468,733	726	0.821922222222222
730465	130	2436	5.5360000000000005
732339	504	1006	0.63667777777777856
734144	850	2668	3.9761555555555566
736791	44,591,1003,1007	754	64.810077777777806
738071	350	2483	6.2759999999999998
738859	493	111	10.664000000000001
742505	1181	45	8.1519999999999992
744726	357	2167	17.853999999999999
758869	596	108	0.44000000000000039
765499	255,900,1083	1654	9.3110777777777791
768364	1170	945	1.5314333333333323
768718	1219	1646	13.234000000000002
770182	265	1799	2.8288222222222226
774481	304,602,1010	783	10.148
774621	1138	405	0.69991111111110971
776026	143	735	7.2560000000000002
777363	397	3386	5.8300000000000001
778754	587,714	784	10.279533333333333
779145	708	1070	5.6339999999999995
779564	45,298,751	2214	16.391999999999999
785121	619	194	1.516
786952	981	3127	4.4558777777777783
790075	302	420	1.8288999999999993
791335	567	555	15.27
791580	613	1658	1.559599999999999
792447	761	474	6.4220000000000006
795957	179	1788	0.31999999999999673
801318	1222	1614	2.8009000000000004
804982	701	1935	2.541999999999998
806169	908	1735	0.55635805243445557
806711	1022	2750	0.88171111111111111
813022	949	791	13.31
820329	876,1107,1166	2664	22.564611111111113
830347	583	2197	4.9948034482758565
832656	162,869	745	15.996000000000002
833846	86	1568	1.2504444444444456
836497	513	2885	0.51400000000000023
843860	27,42	1700	9.8619999999999983
844023	669	2302	1.4900000000000002
845518	706,742	2758	12.060000000000002
853208	509,882	1189	10.839344444444446
853921	32,109	1659	6.9464555555555547
855267	193,512,924	0	10.766
855318	338	1451	3.726
856340	540	1399	13.470000000000002
857337	715	3328	0.17399999999999949
859297	1077	1555	0.075611111111110935
859404	1096	429	0.746
861278	215	1616	13.098000000000003
862702	455	2102	3.3920000000000003
864800	915	2316	1.9060000000000006
869456	595,655	1911	5.3239999999999998
871050	938	3029	16.052
875774	559	752	5.1979666666666677
877987	158,634	498	10.966000000000001
879311	485,1011,1068,1129	2443	10.960000000000001
881292	480	3266	14.718000000000002
882973	832	1210	11.600000000000001
884569	26,458,507,702	749	10.365477777777777
884947	164,533,890,945	958	11.162000000000001
889311	833	2434	1.1719999999999997
890228	1039	1647	1.2163904678377149
894964	713	1292	2.8993444444444449
898701	194	3152	0.64572222222222231
901214	55,413	1394	3.088000000000001
903625	1158	2640	4.2040000000000006
905513	273	500	0.40399999999999991
905874	342	976	5.266
909958	1080	3403	2.5559999999999992
919244	58,546	3143	4.7404222222222216
920182	503	3428	1.8474818203221215
922272	930	3415	5.6460000000000008
922485	953	2100	4.5780000000000021
927624	679	1376	1.7539999999999996
927711	689	249	0.88317639821029092
928923	628,707	3185	12.606000000000002
931906	346	2594	2.8679999999999994
934313	778	1593	5.2207111111111102
934624	17,31,789	1944	3.6218862523540483
935173	962	2285	2.5534777777777777
939695	562,777,1066	2381	9.6060000000000016
943552	187	1548	1.2859999999999994
944215	312	3350	0.67274444444444481
944446	354	1879	17.884711111111109
950768	315,400,585,934	864	31.961638515081205
951540	442	2774	1.4466777777777777
953968	527,700	3097	3.6459999999999995
957971	404	53	4.6644444444444444
959514	666	1999	7.1780000000000008
961507	1053	3388	0.6651777777777772
961825	1116	1860	8.5716777777777793
962012	1151	2763	6.0519333333333334
962404	186,785	207	11.670000000000002
964306	316	71	1.9300000000000002
965001	345,1025	3075	6.6601777777777791
966280	297,496,975,980	2202	16.428000000000001
967735	994	1620	3.4400000000000008
968883	1204	1649	1.5129000000000004
969150	20	389	4.7230936942608324
971556	451	88	5.8780000000000001
973988	897	1050	7.2023559895993277
974047	901	2195	4.9860444444444454
974081	909	1435	13.369999999999999
975331	1164	1427	0.88399999999999856
975759	1223	3066	0.065361811140899437
977192	251	722	9.9239999999999995
981331	1076	570	1.1113777777777776
982136	12	1407	5.3540111111111122
985000	467,1144	917	12.84728888888889
991482	578	617	3.4496000000000002
993315	904	235	0.88884444444444466
993685	978	669	0.046000000000001151
994413	902,1188	243	49.807211111111101
994796	1179	1009	3.4180000000000001
1008352	1194	3155	11.566000000000003
1009007	87	1240	1.0540000000000003
1010013	266	1705	9.5939999999999994
1014289	1075	575	1.5487111111111138
1022186	66	2628	15.756
1022266	82	692	2.0859999999999999
1024147	437	438	3.418000000000001
1025013	594	26	19.346000000000004
1025074	121,825,1101	2491	24.053377777777779
1026697	867	2592	7.0641666666666669
1035218	75	3434	15.013999999999999
1039208	854	2254	5.354966666666666
1047356	738,847	2711	9.1520111111111113
1054569	564,871,929,958	1558	25.004000000000005
1059404	1073	814	11.583611111111113
1060123	1232	1613	4.7060000000000004
1060543	544,1147	583	5.3269000000000011
1061622	292	310	5.5789666666666644
1061637	294	2988	1.6667999999999994
