DATA rows=2995777 orders=1261 riders=3518 bundles=284650 load_sec=2.84584
BEST it=202 cost=5843.2115544118 artificial=0 nodes=301395 sec=21.485604824
BEST it=203 cost=5842.3090859764 artificial=0 nodes=301426 sec=21.54808307
BEST it=208 cost=5837.9958748652 artificial=0 nodes=301783 sec=21.630866096
BEST it=209 cost=5837.1938748652 artificial=0 nodes=302867 sec=21.712759628
BEST it=211 cost=5836.9618748652 artificial=0 nodes=303151 sec=21.997492046
BEST it=216 cost=5835.7175387352 artificial=0 nodes=303242 sec=22.015034363
BEST it=227 cost=5832.5505942908 artificial=0 nodes=303551 sec=22.156335511
BEST it=228 cost=5832.2716387352 artificial=0 nodes=307552 sec=22.683354412
BEST it=236 cost=5828.8496387352 artificial=0 nodes=310554 sec=23.151832302
BEST it=238 cost=5826.261287858 artificial=0 nodes=310560 sec=23.155121229
BEST it=240 cost=5821.2972878581 artificial=0 nodes=312166 sec=23.57497897
BEST it=241 cost=5817.9444989692 artificial=0 nodes=312378 sec=23.590340396
BEST it=247 cost=5815.0849323025 artificial=0 nodes=312494 sec=23.636722692
BEST it=253 cost=5814.0722767469 artificial=0 nodes=316787 sec=24.141081521
BEST it=262 cost=5803.6702767469 artificial=0 nodes=316860 sec=24.191545812
BEST it=271 cost=5803.0034323025 artificial=0 nodes=321126 sec=24.772825814
BEST it=283 cost=5802.1207545247 artificial=0 nodes=329334 sec=25.296756867
BEST it=286 cost=5799.5307676979 artificial=0 nodes=337370 sec=26.389816687
BEST it=290 cost=5798.4780232535 artificial=0 nodes=337495 sec=26.396879369
BEST it=291 cost=5797.8855232535 artificial=0 nodes=341496 sec=26.454554677
BEST it=292 cost=5797.6304630618 artificial=0 nodes=341515 sec=26.458803503
BEST it=300 cost=5791.577985284 artificial=0 nodes=345612 sec=27.131282805
BEST it=320 cost=5791.5196730307 artificial=0 nodes=356045 sec=28.314357575
BEST it=322 cost=5790.9285730307 artificial=0 nodes=356058 sec=28.322230473
BEST it=330 cost=5789.9253396973 artificial=0 nodes=367395 sec=28.772771866
BEST it=350 cost=5789.6291508085 artificial=0 nodes=378610 sec=29.813647301
BEST it=359 cost=5781.1521619196 artificial=0 nodes=379168 sec=29.914705558
BEST it=360 cost=5774.2881619196 artificial=0 nodes=379287 sec=29.976663292
BEST it=368 cost=5773.9708285862 artificial=0 nodes=383537 sec=30.693790066
BEST it=370 cost=5758.9116285862 artificial=0 nodes=383573 sec=30.698517936
